Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
1690,12-05-2016,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,Blume Ventures Rajan Anandan Sumit Jain Aprameya Radhakrishna Sujeet Kumar Phanindra Sama,Seed Funding,500000.0
1691,12-05-2016,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,Creation Investments Capital Management SAIF Partners Sequoia Capital Aspada Ventures,Private Equity,25000000.0
1692,12-05-2016,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,150000.0
1697,13-05-2016,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,Matrix Partners Nexus Ventures,Private Equity,13500000.0
1698,13-05-2016,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,2200000.0
1699,16-05-2016,Smartivity,E-commerce,Smart Learning products,Delhi,S Chand AdvantEdge Partners,Private Equity,1000000.0
1704,18-05-2016,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,250000.0
1705,18-05-2016,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,100000.0
1707,18-05-2016,EduPristine,Education,Online Certification Courses,Mumbai,Kaizen Management Advisors DeVry Inc,Private Equity,10000000.0
1708,18-05-2016,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,1000000.0
1710,19-05-2016,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,1000000.0
1712,19-05-2016,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,500000.0
1713,19-05-2016,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,Chatsworth Management ITW Digital,Seed Funding,500000.0
1714,20-05-2016,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,300000.0
1716,23-05-2016,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,89000.0
1718,24-05-2016,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,1000000.0
1720,25-05-2016,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,1500000.0
1721,25-05-2016,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,100000.0
1723,26-05-2016,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,FF Angel Sequoia Capital,Private Equity,2000000.0
1725,26-05-2016,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,475000.0
1727,30-05-2016,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,Anirudh Damani Vikram Lakhotia,Seed Funding,200000.0
1729,31-05-2016,Koovs,E-commerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,4400000.0
1730,31-05-2016,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000.0
1733,31-05-2016,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,175000.0
1734,01-04-2016,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO/Bangalore,Nelstone Ventures Transmedia Capital Maiden Lane Ventures CSC Upshot & Angel investors,Private Equity,2700000.0
1739,04-04-2016,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,25000000.0
1744,06-04-2016,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,1000000.0
1745,06-04-2016,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,500000.0
1746,06-04-2016,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,LOccitane,Private Equity,6000000.0
1747,06-04-2016,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,1000000.0
1751,08-04-2016,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,Mahendra Patel Nilender Chauhan,Seed Funding,40000.0
1752,11-04-2016,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,200000.0
1754,11-04-2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,Softbank Sequoia Capital Lightspeed Venture Partners Greenoaks Capital DSG Consumer Partners and Venture Nursery,Private Equity,100000000.0
1755,11-04-2016,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,300000.0
1756,12-04-2016,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,Kris Gopalakrishnan Dr. Ranjan Pai,Seed Funding,1000000.0
